"","location","year","water_year_season","season_months","total_months_sampled","samples_per_year","season_prop"
"32","Middle_Fork_Mixed",1996,"Fall/Winter",6,12,17514,0.5
"33","Middle_Fork_Mixed",1996,"Spring/Summer",6,12,17514,0.5
"34","Middle_Fork_Mixed",1997,"Fall/Winter",6,12,8614,0.5
"35","Middle_Fork_Mixed",1997,"Spring/Summer",6,12,8614,0.5
"36","Middle_Fork_Mixed",1998,"Fall/Winter",3,5,2986,0.6
"37","Middle_Fork_Mixed",1998,"Spring/Summer",2,5,2986,0.4
"38","Middle_Fork_Spring_Creek",1994,"Fall/Winter",6,12,4050,0.5
"39","Middle_Fork_Spring_Creek",1994,"Spring/Summer",6,12,4050,0.5
"40","Middle_Fork_Spring_Creek",1995,"Fall/Winter",6,9,2663,0.666666666666667
"41","Middle_Fork_Spring_Creek",1995,"Spring/Summer",3,9,2663,0.333333333333333
"42","Middle_Fork_Spring_Creek",1996,"Fall/Winter",6,12,4391,0.5
"43","Middle_Fork_Spring_Creek",1996,"Spring/Summer",6,12,4391,0.5
"44","Middle_Fork_Spring_Creek",1997,"Fall/Winter",3,5,1759,0.6
"45","Middle_Fork_Spring_Creek",1997,"Spring/Summer",2,5,1759,0.4
"46","Middle_Fork_Tailrace",2000,"Fall/Winter",5,11,7266,0.454545454545455
"47","Middle_Fork_Tailrace",2000,"Spring/Summer",6,11,7266,0.545454545454545
"48","Neal_Creek",2001,"Fall/Winter",1,1,277,1
"49","Neal_Creek",2002,"Fall/Winter",3,6,3781,0.5
"50","Neal_Creek",2002,"Spring/Summer",3,6,3781,0.5
"51","Powerdale",1990,"Fall/Winter",3,6,2154,0.5
"52","Powerdale",1990,"Spring/Summer",3,6,2154,0.5
"53","Powerdale",1991,"Fall/Winter",6,11,3475,0.545454545454545
"54","Powerdale",1991,"Spring/Summer",5,11,3475,0.454545454545455
"55","Powerdale",1992,"Fall/Winter",5,8,2388,0.625
"56","Powerdale",1992,"Spring/Summer",3,8,2388,0.375
"57","Powerdale",1993,"Fall/Winter",6,12,4373,0.5
"58","Powerdale",1993,"Spring/Summer",6,12,4373,0.5
"59","Powerdale",1994,"Fall/Winter",3,9,3041,0.333333333333333
"60","Powerdale",1994,"Spring/Summer",6,9,3041,0.666666666666667
"61","Powerdale",1995,"Fall/Winter",6,12,4380,0.5
"62","Powerdale",1995,"Spring/Summer",6,12,4380,0.5
"63","Powerdale",1996,"Fall/Winter",6,12,4391,0.5
"64","Powerdale",1996,"Spring/Summer",6,12,4391,0.5
"65","Powerdale",1997,"Fall/Winter",4,10,3378,0.4
"66","Powerdale",1997,"Spring/Summer",6,10,3378,0.6
"67","Powerdale",2001,"Fall/Winter",1,1,278,1
"68","Powerdale",2002,"Fall/Winter",3,6,3712,0.5
"69","Powerdale",2002,"Spring/Summer",3,6,3712,0.5
"70","Rogers_Spring",1995,"Fall/Winter",3,8,11480,0.375
"71","Rogers_Spring",1995,"Spring/Summer",5,8,11480,0.625
"72","Rogers_Spring",1996,"Fall/Winter",3,9,12551,0.333333333333333
"73","Rogers_Spring",1996,"Spring/Summer",6,9,12551,0.666666666666667
"74","Rogers_Spring",1997,"Fall/Winter",4,10,6427,0.4
"75","Rogers_Spring",1997,"Spring/Summer",6,10,6427,0.6
"76","Rogers_Spring",2000,"Fall/Winter",5,11,7238,0.454545454545455
"77","Rogers_Spring",2000,"Spring/Summer",6,11,7238,0.545454545454545
"78","Tony_Creek",2023,"Spring/Summer",1,1,24,1
"79","West_Fork",2001,"Fall/Winter",1,1,274,1
"80","West_Fork",2002,"Fall/Winter",3,6,4014,0.5
"81","West_Fork",2002,"Spring/Summer",3,6,4014,0.5
